Date,Repair Type,Cost
2023-01-05,Brake Adjustment,25.00
2023-01-07,Chain Replacement,40.50
2023-01-10,Flat Tire Fix,15.00
2023-01-15,Brake Adjustment,25.00
2023-01-18,Wheel Alignment,35.75
2023-02-02,Full Tune-Up,80.00
2023-02-07,Chain Lubrication,10.00
2023-02-12,Brake Pad Replacement,30.00
2023-02-20,Derailleur Adjustment,22.00
2023-03-05,Flat Tire Fix,15.00
2023-03-12,Spoke Replacement,18.50
2023-03-18,Handlebar Adjustment,20.00
2023-04-01,Brake Adjustment,25.00
2023-04-08,Wheel Alignment,35.75
2023-04-15,Chain Replacement,40.50
2023-04-22,Bottom Bracket Service,50.00
2023-05-03,Full Tune-Up,80.00
2023-05-10,Cassette Replacement,55.00
2023-05-17,Flat Tire Fix,15.00
2023-05-24,Brake Adjustment,25.00
2023-06-01,Headset Service,45.00
2023-06-08,Crankset Replacement,90.00
2023-06-15,Pedal Replacement,20.00
2023-06-22,Chain Lubrication,10.00
2023-07-02,Brake Pad Replacement,30.00
2023-07-09,Wheel Alignment,35.75
2023-07-16,Full Tune-Up,80.00
2023-07-23,Flat Tire Fix,15.00
2023-08-01,Spoke Replacement,18.50
2023-08-08,Derailleur Adjustment,22.00
2023-08-15,Brake Adjustment,25.00
2023-08-22,Chain Replacement,40.50
2023-09-02,Wheel Alignment,35.75
2023-09-09,Full Tune-Up,80.00
2023-09-16,Cassette Replacement,55.00
2023-09-23,Brake Pad Replacement,30.00
2023-10-01,Handlebar Adjustment,20.00
2023-10-08,Headset Service,45.00
2023-10-15,Bottom Bracket Service,50.00
2023-10-22,Crankset Replacement,90.00
2023-11-02,Pedal Replacement,20.00
2023-11-09,Chain Lubrication,10.00
2023-11-16,Brake Adjustment,25.00
2023-11-23,Flat Tire Fix,15.00
2023-12-01,Wheel Alignment,35.75
2023-12-08,Spoke Replacement,18.50
2023-12-15,Full Tune-Up,80.00
2023-12-22,Derailleur Adjustment,22.00
